time_s,flow_rate_ml_s,pump_flow_command_ml_s,pressure_drop_bar,puck_pressure_drop_bar,viscous_puck_pressure_drop_bar,forchheimer_puck_pressure_drop_bar,forchheimer_fraction_of_puck_pressure,basket_sieve_pressure_drop_bar,pressure_setpoint_bar,controller_saturated,puck_outlet_fines_mg_s,cup_fines_mg_s,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,minimum_K_over_K0,maximum_pressure_gradient_MPa_m,maximum_deposit_kg_m3,minimum_hydraulic_diameter_um,maximum_fine_to_hydraulic_diameter_ratio,mean_washout_escape_probability,blockage_position_mm_from_inlet,relative_mass_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,183.33333333333337,0.13636363636363635,0.9790707159845449,0.25,0.0
0.25,0.07740936015327787,0.17201841981528998,0.5867474051551073,0.5859733115535745,0.5859733115535745,0.0,0.0,0.0007740936015327788,1.125,0,0.0006756965040297673,0.00043920272761934875,1.689241260074418e-07,5.912344410260463e-08,1.0980068190483717e-07,0.999998203185677,2.929870260859715,0.00011798480151094671,183.3331988777733,0.13636373637197752,0.9790707050443859,19.75,1.4655693482422263e-16
0.5,0.20702503283101886,0.32867746185106395,1.5692297969019084,1.5671595465735983,1.5671595465735983,0.0,0.0,0.002070250328310189,2.25,0,0.017271994324694968,0.01122679631105173,4.486922707181184e-06,1.5704229475134144e-06,2.9164997596677703e-06,0.9999520943251132,7.836060842156122,0.003145718357754009,183.3297485076613,0.13636630281503528,0.97907042180681,19.75,1.4655693482422263e-16
0.75,0.35153908651021903,0.48088694882718425,2.6648259017825464,2.6613105109174446,2.6613105109174446,0.0,0.0,0.00351539086510219,3.375,0,0.08878234214253493,0.0577085223926477,2.6682508242814916e-05,9.338877884985219e-06,1.73436303578297e-05,0.9997139986820757,13.309200814754934,0.01878246530996126,183.31193018883363,0.13637955791664488,0.9790689289500323,19.75,2.9311386964844526e-16
1.0,0.5002377472156567,0.6316982574721506,3.7928188248279078,3.7878164473557514,3.7878164473557514,0.0,0.0,0.005002377472156567,4.5,0,0.2451557287210625,0.15935122366869064,8.797144042308054e-05,3.0790004148078184e-05,5.718143627500236e-05,0.9990540951588326,18.951412604041078,0.062140581709219184,183.26253289690226,0.13641631819016828,0.9790646481096814,19.75,1.4655693482422263e-16
1.25,0.649975333966723,0.7818657594781337,4.930299550197927,4.923799796858259,4.923799796858259,0.0,0.0,0.006499753339667231,5.625,0,0.49298452673432047,0.32043994237730833,0.00021121757210666066,7.392615023733121e-05,0.00013729142186932945,0.9977252422896467,24.656989339779912,0.14953808357234738,183.16300664092216,0.13649044344970104,0.9790556108125015,19.75,2.9311386964844526e-16
1.5,0.7997265728706094,0.9314405685297089,6.070905048390017,6.062907782661311,6.062907782661311,0.0,0.0,0.007997265728706094,6.75,0,0.8197750014429129,0.5328537509378933,0.0004161613224673889,0.00014565646286358609,0.00027050485960380277,0.9955203933931036,30.405034267607668,0.29480604227684737,182.99771030064625,0.13661373117143158,0.979039706549839,19.75,4.3967080447266784e-16
1.75,0.9490309063252852,1.0802353417712407,7.2129833964279095,7.203493087364657,7.203493087364657,0.0,0.0,0.009490309063252853,7.875,0,1.2028381775965946,0.7818448154377865,0.0007168708668665374,0.0002509048034032881,0.0004659660634632494,0.9923072972354071,36.198310617921656,0.5070796733804436,182.7564648222315,0.1367940664879772,0.9790148947859153,19.75,0.0
2.0,1.0975560982785013,1.2279705061993835,8.356185367700643,8.34520980671786,8.34520980671786,0.0,0.0,0.010975560982785014,9.0,0,1.6179846923503014,1.051690050027696,0.0011213670399541128,0.00039247846398393946,0.0007288885759701734,0.9880374891814786,42.04432991596654,0.7902300387268498,182.4352126803741,0.13703494864119198,0.9789793734514767,19.75,2.9311386964844526e-16
2.25,1.16801489093684,1.2033968257797965,8.912691861606426,8.901011712697057,8.901011712697057,0.0,0.0,0.0116801489093684,9.0,0,2.007059133748537,1.3045884369365492,0.0016231318233912472,0.0005680961381869365,0.0010550356852043108,0.9828383954395956,44.98009795442928,1.1366598876473584,182.04300865329935,0.13733018469065442,0.9789326704258453,19.75,2.9311386964844526e-16
2.5,1.1857949459264745,1.193737769464785,9.072251932735862,9.060393983276596,9.060393983276596,0.0,0.0,0.011857949459264746,9.0,0,2.2487303024741503,1.4616746966081977,0.0021853143990097842,0.0007648600396534247,0.0014204543593563602,0.9771627333141162,45.93004076038897,1.5169393667802786,181.61354651872858,0.13765492981781466,0.978877876439932,19.75,2.9311386964844526e-16
2.75,1.1882716990800604,1.1881824771971958,9.11769156320622,9.10580884621542,9.10580884621542,0.0,0.0,0.011882716990800605,9.0,0,2.410018319391753,1.5665119076046394,0.002787818978857723,0.0009757366426002028,0.00181208233625752,0.9712593417881822,46.305723719406785,1.9148223402940057,181.16539182699978,0.13799545127180385,0.9788171768839107,19.75,4.3967080447266784e-16
3.0,1.1861944187248017,1.1836667518459048,9.13019384718743,9.118331903000183,9.118331903000183,0.0,0.0,0.011861944187248017,9.0,0,2.537278271220662,1.6492308762934305,0.003422138546662889,0.0011977484913320109,0.0022243900553308776,0.9652402371252332,46.513025545461325,2.3229949410534623,180.70690439018853,0.13834557171107942,0.9787518231017753,19.75,1.4655693482422263e-16
3.25,1.1826768855498697,1.1793415608335562,9.133087813847498,9.121261044991998,9.121261044991998,0.0,0.0,0.011826768855498696,9.0,0,2.6473469615030982,1.7207755249770138,0.004083975287038663,0.001429391350463532,0.0026545839365751307,0.9591669164458241,46.66873722552001,2.7374234256560177,180.24268694903975,0.13870188257384491,0.9786826767213688,19.75,2.9311386964844526e-16
3.5,1.1786404219455122,1.174988984242133,9.133092683713881,9.121306279494426,9.121306279494426,0.0,0.0,0.011786404219455121,9.0,0,2.7471480261920975,1.7856462170248635,0.0047707622935866875,0.0016697668027553405,0.003100995490831347,0.9530793435965967,46.806525674494814,3.1554560111966876,179.77575085341093,0.139062136474596,0.9786104121304412,19.75,2.9311386964844526e-16
3.75,1.1743742247067022,1.1705685029622572,9.132156639181146,9.120412896934079,9.120412896934079,0.0,0.0,0.011743742247067023,9.0,0,2.8401443784902494,1.8460938460186622,0.00548079838820925,0.0019182794358732372,0.0035625189523360123,0.9470062066372128,46.93618823029756,3.5751547056659407,179.30828017949244,0.13942468231235236,0.9785355918526746,19.75,2.9311386964844526e-16
4.0,1.1699828864940307,1.166087301614509,9.130855966350506,9.119156137485565,9.119156137485565,0.0,0.0,0.011699828864940308,9.0,0,2.92844095857024,1.903486623070656,0.006212908627851809,0.002174518019748133,0.004038390608103676,0.9409691200785354,47.06068772235687,3.995025058730532,178.84194256104956,0.13978823782606806,0.9784586975446459,19.75,2.9311386964844526e-16
