time_s,flow_rate_ml_s,pump_flow_command_ml_s,pressure_drop_bar,puck_pressure_drop_bar,viscous_puck_pressure_drop_bar,forchheimer_puck_pressure_drop_bar,forchheimer_fraction_of_puck_pressure,basket_sieve_pressure_drop_bar,pressure_setpoint_bar,controller_saturated,puck_outlet_fines_mg_s,cup_fines_mg_s,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,minimum_K_over_K0,maximum_pressure_gradient_MPa_m,maximum_deposit_kg_m3,minimum_hydraulic_diameter_um,maximum_fine_to_hydraulic_diameter_ratio,mean_washout_escape_probability,blockage_position_mm_from_inlet,relative_mass_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,183.33333333333337,0.13636363636363635,0.9790707159845449,0.25,0.0
0.25,0.07740895068628616,0.1720168014664526,0.5867502716228044,0.5859761821159415,0.5859761649822414,1.713370009562712e-08,2.9239584506247114e-08,0.0007740895068628615,1.125,0,0.000675695530313726,0.0004392020947039219,1.689238825784315e-07,5.9123358902451025e-08,1.0980052367598048e-07,0.999963949790287,2.9299552096857897,0.00011798463121347663,183.33319887796736,0.13636373637183316,0.9790707050444016,19.75,0.0
0.5,0.2069949992321997,0.32858850834524866,1.5694303625445938,1.5673604125522718,1.5673602900374852,1.2251478634660247e-07,7.816631411986525e-08,0.002069949992321997,2.25,0,0.017270892725696922,0.011226080271703,4.486647064002661e-06,1.5703264724009315e-06,2.9163205916017303e-06,0.9990393294086403,7.842082979898424,0.003145523992677075,183.32974872915523,0.13636630265028127,0.9790704218250947,19.75,2.9311386964844526e-16
0.75,0.35120150871802275,0.4800736331446525,2.6666817083571264,2.6631696932699462,2.663169340589367,3.5268057955729293e-07,1.3242887993526902e-07,0.0035120150871802277,3.375,0,0.08873576831960163,0.05767824940774106,2.667058914390307e-05,9.334706200366073e-06,1.7335882943536995e-05,0.9942799259703055,13.369091337582574,0.018773987915519538,183.31193984844163,0.136379550730135,0.9790689297697537,19.75,0.0
1.0,0.4984755067949478,0.6280376953356033,3.80075882463274,3.7957740695647906,3.7957733590772818,7.104875091290949e-07,1.8717855596989122e-07,0.004984755067949477,4.5,0,0.24461110281029066,0.15899721682668894,8.782336484647573e-05,3.0738177696266504e-05,5.708518715020923e-05,0.9812235449537776,19.227821181931102,0.06203444990930481,183.26265379349266,0.13641622819764987,0.9790646588077205,19.75,0.0
1.25,0.6439200712179197,0.7706113453866695,4.953013698253865,4.946574497541685,4.946573311956606,1.1855850786670291e-06,2.3967799924093596e-07,0.0064392007121791975,5.625,0,0.4898131431192732,0.3183785430275276,0.00021027665062629407,7.359682771920292e-05,0.00013667982290709114,0.9555339495288577,25.505865957442683,0.14885995186001805,183.1637786528145,0.13648986815994502,0.9790556829794035,19.75,0.0
1.5,0.7837483928999934,0.9042179232647188,6.121679974207927,6.113842490278927,6.113840733884192,1.7563947349716196e-06,2.8728164616021846e-07,0.007837483928999935,6.75,0,0.8078211919583094,0.5250837747729011,0.0004122319486158714,0.00014428118201555498,0.0002679507666003164,0.9146513719102026,32.43211880744793,0.291967529291341,183.0009385938703,0.13661132118825858,0.9790400287561182,19.75,1.4655693482422263e-16
1.75,0.9139300911508266,1.0245164774733304,7.30890385138372,7.2997645504722115,7.2997621621399045,2.388332307001336e-06,3.2717936181199676e-07,0.009139300911508266,7.875,0,1.1692882072305948,0.7600373346998867,0.0007045540004235202,0.00024659390014823197,0.00045796010027528817,0.8587933906717835,40.27898735835449,0.49819715676361226,182.76655264822094,0.1367865161199305,0.9790159778819939,19.75,0.0
2.0,1.0302581486463638,1.1272987821159268,8.516208849160668,8.505906267674204,8.505903232658683,3.0350155206571245e-06,3.568127163817193e-07,0.010302581486463637,9.0,0,1.5417155204602768,1.0021150882991798,0.001089982880538589,0.0003814940081885062,0.0007084888723500831,0.7908978966777922,49.303744346218984,0.7677373119178129,182.46070943118977,0.13701579960932952,0.9789823299173435,19.75,0.0
2.25,1.0595139897824228,1.0569559393142456,9.135595559059903,9.12500041916208,9.124997209330902,3.2098311764531213e-06,3.517623045487893e-07,0.010595139897824228,9.0,0,1.861668542972669,1.2100845529322348,0.0015554000162817565,0.0005443900056986146,0.0010110100105831417,0.7170179967919579,55.9282068357067,1.0886869262266885,182.09726512554593,0.1372892667155868,0.9789394571741962,19.75,1.4655693482422263e-16
2.5,1.0320149903536886,0.9992575757681207,9.33300878817783,9.322688638274293,9.322685592899061,3.0453752311291722e-06,3.2666276321043115e-07,0.010320149903536885,9.0,0,2.016030701390486,1.3104199559038157,0.002059407691629378,0.000720792692070282,0.0013386149995590958,0.6461350321584088,60.45287479177041,1.4293530619654071,181.71236211799953,0.1375800727512728,0.9788910944816959,19.75,2.9311386964844526e-16
2.75,0.9876773680096311,0.9463100997972214,9.395124326554177,9.385247552874082,9.385244763549817,2.7893242630673283e-06,2.972030569628547e-07,0.009876773680096311,9.0,0,2.076662683071348,1.3498307439963766,0.0025785733623972153,0.0009025006768390248,0.00167607268555819,0.5818338871398846,64.24958344009515,1.7724118558103552,181.3256563370056,0.1378734841225991,0.9788398717253134,19.75,2.9311386964844526e-16
3.0,0.9392487201434575,0.896353431455925,9.410576525513322,9.401184038311888,9.401181515818573,2.522493314440059e-06,2.6831655503821067e-07,0.009392487201434575,9.0,0,2.0941479368954306,1.3611961589820298,0.0031021103466210725,0.001085738621317375,0.002016371725303698,0.5247495313686138,67.74586071892375,2.1103665163797936,180.94558468151928,0.13816308391278118,0.97878729371796,19.75,2.9311386964844526e-16
3.25,0.891086076253837,0.8491776172528006,9.407843084591674,9.398932223829135,9.398929953399143,2.2704299924441187e-06,2.4156254544403375e-07,0.008910860762538369,9.0,0,2.0888876841148734,1.3577769946746676,0.0036243322676497904,0.0012685162936774267,0.0023558159739723644,0.47451800758548307,71.07570240187172,2.4396732359932094,180.57607655917585,0.13844580343292237,0.9787343058249498,19.75,4.3967080447266784e-16
3.5,0.8448113640496544,0.8048593975859917,9.396760233395373,9.388312119754877,9.388310079011976,2.040742900526728e-06,2.1737058530815125e-07,0.008448113640496545,9.0,0,2.0703008127606948,1.3456955282944516,0.004141907470839964,0.0014496676147939874,0.0026922398560459775,0.4304597533320746,74.28162328464533,2.7585865560423075,180.2190162774276,0.1387201002224716,0.9786815371855756,19.75,2.9311386964844526e-16
3.75,0.8010609629717936,0.7634438824887839,9.381220010820844,9.373209401191126,9.373207566343785,1.834847340286014e-06,1.957544381813177e-07,0.008010609629717936,9.0,0,2.0434897306830293,1.3282683249439693,0.004652779903510721,0.0016284729662287526,0.0030243069372819695,0.39183064871890744,77.37868558188786,3.0663018036418923,179.87522395152365,0.1389852334901748,0.978629414790508,19.75,2.9311386964844526e-16
4.0,0.760060364680465,0.7248924432356836,9.363091817146035,9.35549121349923,9.355489561670668,1.6518285623777357e-06,1.7656246205375925e-07,0.00760060364680465,9.0,0,2.0115909070796407,1.3075340896017666,0.0051556776302806315,0.0018044871705982211,0.003351190459682411,0.3579189462276542,80.37436850450165,3.3625594649478643,179.54490820441666,0.1392409300270261,0.9785782261069439,19.75,4.3967080447266784e-16
