time_s,flow_rate_ml_s,pump_flow_command_ml_s,pressure_drop_bar,puck_pressure_drop_bar,viscous_puck_pressure_drop_bar,forchheimer_puck_pressure_drop_bar,forchheimer_fraction_of_puck_pressure,basket_sieve_pressure_drop_bar,pressure_setpoint_bar,controller_saturated,puck_outlet_fines_mg_s,cup_fines_mg_s,cumulative_puck_outlet_fines_g,cumulative_basket_retained_fines_g,cumulative_cup_fines_g,minimum_K_over_K0,maximum_pressure_gradient_MPa_m,maximum_deposit_kg_m3,minimum_hydraulic_diameter_um,maximum_fine_to_hydraulic_diameter_ratio,mean_washout_escape_probability,blockage_position_mm_from_inlet,relative_mass_balance_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.37499999999999,0.29629629629629634,0.724454595424802,0.25,0.0
0.25,0.07740872522405914,0.17201590857420607,0.5867518638915215,0.585977776639281,0.5859777595056807,1.7133600288136635e-08,2.9239334615046024e-08,0.0007740872522405915,1.125,0,0.001029850402425645,0.0006694027615766692,2.5746260060641125e-07,9.011191021224393e-08,1.6735069039416727e-07,0.9999450037718368,2.9300021897384894,0.0001799926053093355,84.37489859195043,0.2962966524072962,0.7244542155923481,19.75,-2.9311386964844526e-16
0.5,0.20697847965209773,0.3285396406655457,1.5695404815244058,1.5674706967278849,1.5674705742326527,1.2249523213443147e-07,7.814833948101347e-08,0.002069784796520977,2.25,0,0.02606658528891279,0.01694328043779331,6.774108922834609e-06,2.3709381229921124e-06,4.403170799842496e-06,0.9985456627507381,7.845333833043958,0.004763113606321001,84.37231648565,0.29630572018550644,0.7244444131499698,19.75,0.0
0.75,0.3510187736942655,0.4796352966826687,2.6676790807313333,2.6641688929943905,2.6641685406807247,3.5231366582756476e-07,1.3224149067801107e-07,0.003510187736942655,3.375,0,0.1312538833763006,0.08531502419459538,3.958757976690976e-05,1.3855652918418415e-05,2.5731926848491343e-05,0.9914787863601704,13.399886097362783,0.02800710573632689,84.35922181849578,0.29635171426532464,0.7243931507482684,19.75,0.0
1.0,0.49754673117104986,0.6261260772161307,3.804881397047122,3.7999059297354116,3.7999052218930425,7.078423692476089e-07,1.8627891909337243e-07,0.0049754673117104985,4.5,0,0.3508547260289587,0.22805557191882314,0.00012730126127414942,4.455544144595229e-05,8.274581982819713e-05,0.9727147291021347,19.359877104032762,0.09053812384107636,84.32400178968032,0.29647549297238796,0.7242482268020144,19.75,1.4655693482422263e-16
1.25,0.6408499880177541,0.764994793896494,4.9642398678574615,4.957831367977284,4.9578301936705245,1.174306760237373e-06,2.3685895567611275e-07,0.006408499880177541,5.625,0,0.6755430683767367,0.4391029944448789,0.00029618702836833356,0.00010366545992891673,0.00019252156843941682,0.9374500128539125,25.873935502889076,0.2113914835034381,84.25596222265918,0.2967149070582531,0.7239489781967184,19.75,-1.4655693482422263e-16
1.5,0.7760596752695217,0.8914324924072428,6.145165232726685,6.137404635973989,6.1374029138713375,1.7221026513539143e-06,2.8059134984516484e-07,0.007760596752695217,6.75,0,1.0658311559846154,0.6927902513900001,0.0005626448173644875,0.0001969256860775706,0.00036571913128691686,0.884405233343584,33.21223162103866,0.4020215322173889,84.14871916623568,0.2970930543887725,0.7234387427247622,19.75,-2.9311386964844526e-16
1.75,0.8981325242640945,1.000287752595447,7.349620081450754,7.340638756208113,7.340636449728354,2.306479758967745e-06,3.142069560386843e-07,0.008981325242640946,7.875,0,1.4737778542369842,0.9579556052540398,0.0009310892809237335,0.00032588124832330667,0.0006052080326004268,0.8163061719361648,41.642960358839,0.6642516556992433,84.00135627802031,0.2976142422898173,0.72267576271381,19.75,0.0
2.0,1.0023555883203525,1.0874300076325378,8.577171472841192,8.567147916957987,8.56714504411142,2.87284656793669e-06,3.3533290142570305e-07,0.010023555883203524,9.0,0,1.8598836281945637,1.2089243583264664,0.0013960601879723744,0.000488621065790331,0.0009074391221820435,0.7385850101674589,51.3659801609993,0.991698780095628,83.81760424784262,0.29826669736439615,0.7216405978553603,19.75,1.4655693482422263e-16
2.25,1.0185469026288516,1.0048641823653741,9.209243209314842,9.199057740288554,9.199054773880682,2.9664078711881366e-06,3.224686652630019e-07,0.010185469026288516,9.0,0,2.1604816420980635,1.4043130673637412,0.00193618059849689,0.0006776632094739116,0.001258517389022979,0.6588300911491026,58.51427753958108,1.3656750742632358,83.60809434712499,0.2990141109568259,0.720364315142781,19.75,1.4655693482422263e-16
